scene_number,row_count
505.0,7
522.0,7
520.0,7
519.0,7
518.0,7
574.0,7
517.0,7
515.0,7
81.0,7
42.0,7
45.0,7
151.0,7
446.0,7
513.0,7
512.0,7
52.0,7
511.0,7
510.0,7
509.0,7
508.0,7
507.0,7
452.0,7
453.0,7
506.0,7
61.0,7
504.0,7
502.0,7
501.0,7
500.0,7
521.0,7
514.0,7
634.0,7
524.0,7
525.0,7
546.0,7
526.0,7
527.0,7
436.0,7
126.0,7
531.0,7
539.0,7
552.0,7
485.0,6
636.0,6
125.0,6
484.0,6
158.0,6
147.0,6
486.0,6
483.0,6
162.0,6
488.0,6
164.0,6
314.0,6
166.0,6
313.0,6
312.0,6
170.0,6
487.0,6
632.0,6
334.0,6
140.0,6
146.0,6
145.0,6
144.0,6
143.0,6
148.0,6
481.0,6
142.0,6
479.0,6
333.0,6
482.0,6
478.0,6
154.0,6
629.0,6
134.0,6
133.0,6
477.0,6
311.0,6
534.0,6
172.0,6
266.0,6
528.0,6
558.0,6
557.0,6
556.0,6
555.0,6
554.0,6
553.0,6
529.0,6
530.0,6
532.0,6
533.0,6
535.0,6
544.0,6
543.0,6
542.0,6
541.0,6
538.0,6
265.0,6
523.0,6
310.0,6
279.0,6
309.0,6
308.0,6
307.0,6
177.0,6
489.0,6
490.0,6
491.0,6
492.0,6
493.0,6
494.0,6
495.0,6
496.0,6
336.0,6
207.0,6
282.0,6
281.0,6
280.0,6
335.0,6
338.0,6
122.0,6
56.0,6
43.0,6
372.0,6
445.0,6
48.0,6
447.0,6
448.0,6
51.0,6
449.0,6
54.0,6
450.0,6
451.0,6
444.0,6
454.0,6
455.0,6
63.0,6
456.0,6
65.0,6
665.0,6
337.0,6
67.0,6
457.0,6
458.0,6
41.0,6
38.0,6
461.0,6
432.0,6
421.0,6
425.0,6
426.0,6
427.0,6
428.0,6
19.0,6
429.0,6
430.0,6
22.0,6
431.0,6
433.0,6
443.0,6
385.0,6
434.0,6
383.0,6
435.0,6
437.0,6
438.0,6
439.0,6
440.0,6
441.0,6
442.0,6
459.0,6
537.0,6
476.0,6
472.0,6
475.0,6
100.0,6
73.0,6
343.0,6
103.0,6
342.0,6
105.0,6
645.0,6
341.0,6
340.0,6
642.0,6
339.0,6
111.0,6
112.0,6
113.0,6
114.0,6
115.0,6
116.0,6
117.0,6
118.0,6
119.0,6
651.0,6
474.0,6
471.0,6
85.0,6
463.0,6
464.0,6
76.0,6
465.0,6
78.0,6
79.0,6
80.0,6
82.0,6
469.0,6
84.0,6
83.0,6
86.0,6
87.0,6
88.0,6
89.0,6
90.0,6
91.0,6
467.0,6
468.0,6
536.0,6
415.0,5
414.0,5
413.0,5
419.0,5
416.0,5
417.0,5
418.0,5
462.0,5
